"ID","Year","Tax.Type","NAICS","Total.Taxable","Units","City"
201,"2020 Quarter 3","Sales","All NAICS","$3,145,164","1,147","Asotin City"
201,"2020 Quarter 2","Sales","All NAICS","$2,508,767","1,169","Asotin City"
201,"2020 Quarter 1","Sales","All NAICS","$2,354,038","1,012","Asotin City"
201,"2020 Annual","Sales","All NAICS","$11,122,489","2,137","Asotin City"
201,"2019 Quarter 4","Sales","All NAICS","$2,190,262","1,064","Asotin City"
201,"2019 Quarter 3","Sales","All NAICS","$2,471,296","920","Asotin City"
201,"2019 Quarter 2","Sales","All NAICS","$2,116,882","856","Asotin City"
201,"2019 Quarter 1","Sales","All NAICS","$2,149,212","836","Asotin City"
201,"2019 Annual","Sales","All NAICS","$8,920,205","1,699","Asotin City"
201,"2018 Quarter 4","Sales","All NAICS","$2,551,509","830","Asotin City"
201,"2018 Quarter 3","Sales","All NAICS","$2,353,683","707","Asotin City"
201,"2018 Quarter 2","Sales","All NAICS","$2,536,113","680","Asotin City"
201,"2018 Quarter 1","Sales","All NAICS","$2,177,213","637","Asotin City"
201,"2018 Annual","Sales","All NAICS","$9,614,166","1,341","Asotin City"
201,"2017 Quarter 4","Sales","All NAICS","$2,093,696","801","Asotin City"
201,"2017 Quarter 3","Sales","All NAICS","$2,016,668","676","Asotin City"
201,"2017 Quarter 2","Sales","All NAICS","$2,038,171","686","Asotin City"
201,"2017 Quarter 1","Sales","All NAICS","$1,637,169","675","Asotin City"
201,"2017 Annual","Sales","All NAICS","$7,785,704","1,324","Asotin City"
201,"2016 Quarter 4","Sales","All NAICS","$1,863,098","751","Asotin City"
201,"2016 Quarter 3","Sales","All NAICS","$2,017,786","677","Asotin City"
201,"2016 Quarter 2","Sales","All NAICS","$1,696,653","650","Asotin City"
201,"2016 Quarter 1","Sales","All NAICS","$1,651,917","625","Asotin City"
201,"2016 Annual","Sales","All NAICS","$7,229,454","1,267","Asotin City"
201,"2015 Quarter 4","Sales","All NAICS","$2,343,295","680","Asotin City"
201,"2015 Quarter 3","Sales","All NAICS","$1,521,034","584","Asotin City"
201,"2015 Quarter 2","Sales","All NAICS","$1,532,526","599","Asotin City"
201,"2015 Quarter 1","Sales","All NAICS","$1,369,279","566","Asotin City"
201,"2015 Annual","Sales","All NAICS","$6,766,134","1,114","Asotin City"
202,"2022 Quarter 3","Sales","All NAICS","$96,761,798","4,317","Clarkston"
202,"2022 Quarter 2","Sales","All NAICS","$90,612,649","4,371","Clarkston"
202,"2022 Quarter 1","Sales","All NAICS","$81,204,546","4,242","Clarkston"
202,"2021 Quarter 4","Sales","All NAICS","$90,837,255","4,498","Clarkston"
